id,name,age,salary
1,user_1,45,58270.0
2,user_2,54,21265.0
3,user_3,48,58284.0
4,user_4,53,51526.0
5,user_5,26,64043.0
6,user_6,25,63805.0
7,user_7,33,70457.0
8,user_8,23,44104.0
9,user_9,33,30620.0
10,user_10,28,90533.0
11,user_11,invalid_age,85866.0
12,user_12,30,88104.0
13,user_13,20,76239.0
14,user_14,56,66138.0
15,user_15,45,99837.0
16,user_16,25,26308.0
17,user_17,42,69578.0
18,user_18,33,43016.0
19,user_19,40,71176.0
20,user_20,53,97694.0
21,user_21,45,22785.0
22,user_22,37,93954.0
23,user_23,44,58536.0
24,user_24,38,49550.0
25,user_25,59,57931.0
26,user_26,55,
27,user_27,51,47537.0
28,user_28,53,53161.0
29,user_29,53,50474.0
30,user_30,22,68941.0
31,user_31,28,40823.0
32,user_32,28,70987.0
33,user_33,35,57235.0
34,user_34,59,36938.0
35,user_35,19,83995.0
36,user_36,22,48725.0
37,user_37,48,73344.0
38,user_38,47,58512.0
39,user_39,33,82971.0
40,user_40,56,77104.0
41,user_41,32,48896.0
42,user_42,56,52648.0
43,user_43,34,63806.0
44,user_44,42,33371.0
45,user_45,39,62750.0
46,user_46,46,93639.0
47,user_47,38,48467.0
48,user_48,23,33201.0
49,user_49,60,23549.0
50,user_50,29,35078.0
51,,37,75243.0
52,user_52,39,63653.0
53,user_53,58,48702.0
54,user_54,20,49306.0
55,user_55,44,55015.0
56,user_56,50,29481.0
57,user_57,60,59416.0
58,user_58,35,51849.0
59,user_59,55,46525.0
60,user_60,55,60625.0
61,user_61,18,31948.0
62,user_62,34,44336.0
63,user_63,42,63440.0
64,user_64,24,83586.0
65,user_65,53,54461.0
66,user_66,38,53249.0
67,user_67,45,53389.0
68,user_68,18,89740.0
69,user_69,45,58584.0
70,user_70,52,57868.0
71,user_71,24,45942.0
72,user_72,24,28897.0
73,user_73,32,77156.0
74,user_74,19,94308.0
75,user_75,56,50508.0
76,user_76,-5,51160.0
77,user_77,40,23764.0
78,user_78,37,41813.0
79,user_79,58,96032.0
80,user_80,23,42031.0
81,user_81,20,37632.0
82,user_82,29,85785.0
83,user_83,24,54150.0
84,user_84,50,61314.0
85,user_85,49,22149.0
86,user_86,46,54852.0
87,user_87,39,42152.0
88,user_88,47,34135.0
89,user_89,51,26560.0
90,user_90,36,63342.0
91,user_91,56,52404.0
92,user_92,55,29827.0
93,user_93,25,53753.0
94,user_94,51,28815.0
95,user_95,56,58096.0
96,user_96,18,41627.0
97,user_97,55,52224.0
98,user_98,60,99803.0
99,user_99,22,42116.0
100,user_100,38,25658.0
101,user_101,46,not_available
102,user_102,18,69415.0
103,user_103,47,74869.0
104,user_104,53,23833.0
105,user_105,55,78990.0
106,user_106,41,37852.0
107,user_107,20,75995.0
108,user_108,54,74080.0
